Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/devx-builds,1439,200,19,209.26744736066732,7.2960920000184615,5022.999866999981,24929.81653926338,23.405920689372454,3.2530814022755323,19,21,25,32,1100,1100,3100,3100,3100,5000,5000
GET,/api/presto-clusters,1289,204,94,380.8630639728476,7.2629210000059174,21621.075458999996,200.33359193173,20.966109637665806,3.318143030321043,94,98,110,140,1100,1100,3100,3200,21000,22000,22000
,Aggregated,2728,404,41,290.34763424230255,7.2629210000059174,21621.075458999996,13244.954545454546,44.37203032703826,6.571224432596575,41,93,97,100,1100,1100,3100,3100,20000,22000,22000
